Product_Id,Options_Index,Product_Option_Value_Index,Product_Option_Values
7827147128925,0,0,"OS"
7827147128925,1,0,"black"
7827147161693,0,0,"OS"
7827147161693,1,0,"blue"
7827146965085,0,0,"1"
7827146965085,0,1,"2"
7827146965085,1,0,"white"
7827146473565,0,0,"5"
7827146473565,0,1,"6"
7827146473565,0,2,"7"
7827146473565,0,3,"9"
7827146473565,0,4,"10"
7827146473565,0,5,"11"
7827146473565,0,6,"12"
7827146473565,1,0,"white"
7827146375261,0,0,"4"
7827146375261,0,1,"8"
7827146375261,0,2,"14"
7827146375261,1,0,"black"
7827146834013,0,0,"4"
7827146834013,0,1,"5"
7827146834013,0,2,"6"
7827146834013,0,3,"7"
7827146834013,0,4,"9"
7827146834013,0,5,"11"
7827146834013,0,6,"13"
7827146834013,1,0,"black"
7827146801245,0,0,"3"
7827146801245,0,1,"4"
7827146801245,0,2,"5"
7827146801245,0,3,"6"
7827146801245,0,4,"7"
7827146801245,0,5,"8"
7827146801245,0,6,"9"
7827146801245,0,7,"10"
7827146801245,0,8,"11"
7827146801245,0,9,"12"
7827146801245,0,10,"13"
7827146801245,1,0,"white"
7827146866781,0,0,"5"
7827146866781,0,1,"6"
7827146866781,0,2,"7"
7827146866781,0,3,"8"
7827146866781,0,4,"9"
7827146866781,1,0,"black"
7827146768477,0,0,"3"
7827146768477,0,1,"4"
7827146768477,0,2,"5"
7827146768477,0,3,"6"
7827146768477,0,4,"7"
7827146768477,0,5,"8"
7827146768477,0,6,"10"
7827146768477,0,7,"11"
7827146768477,0,8,"12"
7827146768477,0,9,"13"
7827146768477,0,10,"15"
7827146768477,1,0,"red"
7827146702941,0,0,"5"
7827146702941,0,1,"6"
7827146702941,0,2,"7"
7827146702941,0,3,"8"
7827146702941,0,4,"9"
7827146702941,0,5,"10"
7827146702941,0,6,"11"
7827146702941,0,7,"12"
7827146702941,1,0,"black"
7827146735709,0,0,"4"
7827146735709,0,1,"5"
7827146735709,0,2,"6"
7827146735709,0,3,"7"
7827146735709,0,4,"8"
7827146735709,0,5,"9"
7827146735709,1,0,"black"
7827147063389,0,0,"s"
7827147063389,0,1,"m"
7827147063389,0,2,"l"
7827147063389,0,3,"xl"
7827147063389,1,0,"black"
7827141820509,0,0,"$10"
7827141820509,0,1,"$25"
7827141820509,0,2,"$50"
7827141820509,0,3,"$100"
7827147030621,0,0,"OS"
7827147030621,1,0,"black"
7827146670173,0,0,"s"
7827146670173,0,1,"m"
7827146670173,0,2,"l"
7827146670173,0,3,"xl"
7827146670173,1,0,"blue"
7827147096157,0,0,"OS"
7827147096157,1,0,"white"
7827146899549,0,0,"4"
7827146899549,0,1,"7"
7827146899549,1,0,"black"
7827146342493,0,0,"9"
7827146342493,0,1,"10"
7827146342493,0,2,"12"
7827146342493,1,0,"red"
7827146408029,0,0,"5"
7827146408029,0,1,"6"
7827146408029,0,2,"7"
7827146408029,0,3,"8"
7827146408029,1,0,"red"
7827142017117,0,0,"Selling Plans Ski Wax"
7827142017117,0,1,"Special Selling Plans Ski Wax"
7827142017117,0,2,"Sample Selling Plans Ski Wax"
7827146440797,0,0,"9"
7827146440797,0,1,"10"
7827146440797,0,2,"11"
7827146440797,0,3,"12"
7827146440797,1,0,"gray"
7827142279261,0,0,"Default Title"
7827141984349,0,0,"Default Title"
7827141951581,0,0,"Default Title"
7827142213725,0,0,"Default Title"
7827142180957,0,0,"Default Title"
7827142082653,0,0,"Default Title"
7827142049885,0,0,"Ice"
7827142049885,0,1,"Dawn"
7827142049885,0,2,"Powder"
7827142049885,0,3,"Electric"
7827142049885,0,4,"Sunset"
7827141853277,0,0,"Default Title"
7827141918813,0,0,"Default Title"
7827141787741,0,0,"Default Title"
7827142148189,0,0,"Default Title"
7827142246493,0,0,"Default Title"
7827142312029,0,0,"Default Title"
7827141886045,0,0,"Default Title"
7827142115421,0,0,"Default Title"
7827146637405,0,0,"7"
7827146637405,0,1,"8"
7827146637405,0,2,"9"
7827146637405,0,3,"10"
7827146637405,0,4,"11"
7827146637405,0,5,"12"
7827146637405,0,6,"13"
7827146637405,0,7,"14"
7827146637405,0,8,"15"
7827146637405,1,0,"yellow"
7827146997853,0,0,"9.5-13"
7827146997853,1,0,"white"
7827146276957,0,0,"8"
7827146276957,0,1,"9"
7827146276957,0,2,"10"
7827146276957,0,3,"13"
7827146276957,1,0,"blue"
7827146244189,0,0,"4"
7827146244189,0,1,"5"
7827146244189,0,2,"6"
7827146244189,0,3,"7"
7827146244189,0,4,"8"
7827146244189,0,5,"9"
7827146244189,1,0,"white"
7827146211421,0,0,"5"
7827146211421,0,1,"6"
7827146211421,0,2,"7"
7827146211421,0,3,"8"
7827146211421,0,4,"9"
7827146211421,1,0,"red"
7827146604637,0,0,"4"
7827146604637,0,1,"5"
7827146604637,0,2,"6"
7827146604637,0,3,"7"
7827146604637,0,4,"8"
7827146604637,0,5,"9"
7827146604637,1,0,"beige"
7827146506333,0,0,"9"
7827146506333,0,1,"10"
7827146506333,0,2,"11"
7827146506333,0,3,"12"
7827146506333,0,4,"13"
7827146506333,1,0,"light_brown"
7827146571869,0,0,"4"
7827146571869,0,1,"5"
7827146571869,0,2,"6"
7827146571869,0,3,"7"
7827146571869,0,4,"8"
7827146571869,0,5,"9"
7827146571869,1,0,"white"
7827146539101,0,0,"4"
7827146539101,0,1,"5"
7827146539101,0,2,"6"
7827146539101,0,3,"7"
7827146539101,0,4,"8"
7827146539101,0,5,"9"
7827146539101,0,6,"10"
7827146539101,0,7,"11"
7827146539101,0,8,"12"
7827146539101,0,9,"14"
7827146539101,1,0,"black"
7827146309725,0,0,"4"
7827146309725,0,1,"5"
7827146309725,0,2,"6"
7827146309725,0,3,"7"
7827146309725,0,4,"8"
7827146309725,0,5,"9"
7827146309725,0,6,"10"
7827146309725,1,0,"white"
7827146178653,0,0,"4"
7827146178653,0,1,"5"
7827146178653,0,2,"10"
7827146178653,1,0,"burgandy"
